Z tilde ng,W ng,Z tilde Eg, W eg
185681.605,0.67684872,501569.742,0.77889273
185720.76,0.6491522,501767.913,0.70459713
185803.408,0.59348121,501840.712,0.93054079
185838.435,0.41876108,501853.563,0.89410851
185866.615,0.40985863,501895.015,0.76103007
185883.461,0.25261551,501895.717,0.59132303
185936.906,0.51553584,501905.927,0.66460442
185976.203,0.2594298,501907.793,0.82345141
186039.62,0.19587569,501948.748,0.44094601
186046.199,0.55929118,501970.819,0.60869837
186066.469,-0.1124145,501992.991,0.63455334
186101.554,0.20628977,502003.826,0.68554652
186106.492,0.43828537,502019.592,0.55966066
186129.141,0.01346022,502029.446,0.50891325
186139.443,0.46392634,502058.877,0.6051786
186206.789,0.35058734,502081.995,0.36259947
186265.537,0.24193899,502147.09,0.50142362
186314.373,0.39134519,502195.247,0.31941037
186334.153,-0.0970114,502214.829,0.54586719
186339.166,0.47127404,502215.309,0.23513304
186344.522,0.41414019,502266.893,0.51050588
186355.037,0.15535617,502300.12,0.18440521
186383.1,-0.1005076,502309.801,0.34839915
186411.583,0.03578238,502324.343,0.11843681
186437.05,-0.1824045,502335.825,0.18322929
186491.183,0.14170826,502367.192,0.03943421
186510.978,-0.1277202,502378.665,0.1147397
186526.219,0.33862809,502417.57,0.14832821
186555.19,0.41274119,502442.432,0.19273449
186577.966,0.03287426,502453.183,0.04473423
186600.661,0.46247156,502486.243,0.28500921
186613.807,0.14676134,502503.376,0.21643602
186619.921,0.23192123,502509.087,-0.0636787
186667.617,-0.127704,502543.514,0.24822162
186672.795,-0.1545091,502547.012,0.21544844
186725.576,0.22707467,502564.679,0.00793577
186729.063,0.06526536,502598.825,-0.1848837
186737.127,-0.0454074,502634.179,-0.0083767
186755.051,0.03452027,502655.803,-0.1953582
186774.566,0.11474333,502665.547,-0.179767
186784.692,0.1847997,502669.049,-0.1148489
186858.736,0.29210756,502724.662,-0.2213847
186882.875,-0.158378,502731.263,-0.2822933
186887.683,0.49397888,502781.117,-0.0329058
186926.213,0.0634052,502808.334,-0.2273974
186961.674,-0.0387123,502832.41,-0.2329518
186965.288,-0.1443787,502874.41,-0.2342931
187046.419,-0.1555123,502878.878,-0.1849192
187066.691,-0.1913107,502913.333,-0.1991688
187070.415,0.0069937,503000.201,-0.3033439
187175.657,-0.1778152,503029.823,-0.216402
501569.742,0.77889273,,
501767.913,0.70459713,,
501840.712,0.93054079,,
501853.563,0.89410851,,
501895.015,0.76103007,,
501895.717,0.59132303,,
501905.927,0.66460442,,
501907.793,0.82345141,,
501948.748,0.44094601,,
501970.819,0.60869837,,
501992.991,0.63455334,,
502003.826,0.68554652,,
502019.592,0.55966066,,
502029.446,0.50891325,,
502058.877,0.6051786,,
502081.995,0.36259947,,
502147.09,0.50142362,,
502195.247,0.31941037,,
502214.829,0.54586719,,
502215.309,0.23513304,,
502266.893,0.51050588,,
502300.12,0.18440521,,
502309.801,0.34839915,,
502324.343,0.11843681,,
502335.825,0.18322929,,
502367.192,0.03943421,,
502378.665,0.1147397,,
502417.57,0.14832821,,
502442.432,0.19273449,,
502453.183,0.04473423,,
502486.243,0.28500921,,
502503.376,0.21643602,,
502509.087,-0.0636787,,
502543.514,0.24822162,,
502547.012,0.21544844,,
502564.679,0.00793577,,
502598.825,-0.1848837,,
502634.179,-0.0083767,,
502655.803,-0.1953582,,
502665.547,-0.179767,,
502669.049,-0.1148489,,
502724.662,-0.2213847,,
502731.263,-0.2822933,,
502781.117,-0.0329058,,
502808.334,-0.2273974,,
502832.41,-0.2329518,,
502874.41,-0.2342931,,
502878.878,-0.1849192,,
502913.333,-0.1991688,,
503000.201,-0.3033439,,
503029.823,-0.216402,,
