HDI,Country,Employment_ratio,Labour_participation,Agriculture,Services,Total,Youth,Youth_not_school_or_employment,High_to_low,Pension
2,Switzerland,64.9,68.3,3.1,76.6,4.9,7.9,6,12.97,99.7
3,Ireland,58,61.5,5,76.5,5.7,13.5,10.1,5.19,71.3
4,Germany,58.5,60.6,1.3,71.6,3.4,6.4,5.9,5.79,100
8,Sweden,60.2,64.3,1.8,80.2,6.4,17,6.1,11.29,100
10,Netherlands,60.9,63.4,2.3,81.4,3.9,7,4.2,5.48,99
11,Denmark,58.9,62,2.2,79.2,5,9.2,6.8,4.24,99.2
12,Finland,54,58.5,3.7,74.3,7.8,17.3,8.5,7.83,100
15,UK,59.9,62.3,1.2,80.8,4,11.2,10.5,5.75,100
17,Belgium,49.9,53.3,1.2,78.2,6.3,17.6,9.2,4.92,100
20,Austria,57.3,60.2,3.9,71.4,4.8,9.2,6.8,5.08,100
21,Luxembourg,54.9,58.1,1.4,88.1,5.5,14.7,5.3,7.32,100
24,Slovenia,54.8,58,5.5,61.4,5.5,10.2,6.6,5.96,100
25,Spain,48.5,57.3,4.3,75.8,15.5,34.3,12.4,2.59,66.3
26,Czech Republic,58.8,60.2,2.8,59.4,2.4,8,5.6,7.01,100
26,France,50,55.1,2.6,77.1,9.2,20.9,11.1,4.65,100
28,Malta,52.2,54.7,1,79.4,4.6,10.2,7.3,5.37,81
29,Italy,43.9,48.9,3.8,70.4,10.2,31.5,19.2,3.29,90.5
30,Estonia,59.9,63.4,3.5,66.7,5.5,11.5,9.9,5.78,100
31,Cyprus,57.1,62.2,2.5,80.5,8.1,18.1,13.2,2.7,94.3
32,Greece,42.7,52.8,12,72.7,19.2,39.5,14.1,4.39,77.4
32,Poland,54.8,56.9,10.1,58.4,3.7,11.4,8.7,6.47,100
34,Lithuania,57.4,61,7.7,67.3,6,12.5,8,4.64,100
36,Slovakia,55.7,59.7,2.7,60.3,6.8,18.2,10.2,4.14,100
39,Latvia,56.3,61.1,6.8,70.1,7.9,14.7,7.8,3.19,100
40,Portugal,54.7,58.7,6.3,69.1,6.9,20.3,8.4,3.61,82.2
43,Hungary,54.1,56.2,5,63.7,3.7,10.3,10.7,3.51,100
46,Croatia,47.1,51.7,6.9,66.8,8.9,25.5,13.6,4.75,57.6
52,Bulgaria,52.4,55.4,6.9,63.3,5.3,13.5,15,2.79,100
52,Romania,52.1,54.5,22.6,47.3,4.3,15.3,14.5,2.46,100
